fstvlNm,fstvlStartDate,fstvlEndDate,rdnmadr,lnmadr,addr,latitude,longitude
개화산 해맞이축제,2023-01-01,2023-01-01,,서울특별시 강서구 개화동 산 91-4,서울특별시 강서구 개화동 산,37.5828701,126.8087409
제23회 서귀포 겨울바다 국제펭귄수영대회,2023-01-01,2023-01-01,,제주특별자치도 서귀포시 색달동 3304-1,제주특별자치도 서귀포시 색달동 3304-1,33.2452769,126.4084128
2023 해운대카운트다운&해맞이축제,2023-01-01,2023-01-01,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
해맞이행사,2023-01-01,2023-01-01,,대구광역시 동구 효목동 212-2,대구광역시 동구 효목동 212-2,35.8845456,128.6457326
응봉산 해맞이 축제,2023-01-01,2023-01-01,,서울특별시 성동구 금호동4가 1540,서울특별시 성동구 금호동4가 1540,37.5470795,127.0285853
대왕암 해맞이 축제,2023-01-01,2023-01-01,,울산광역시 동구 일산동 산907,울산광역시 동구 일산동 산907,35.4969464,129.4330583
휴애리 유채꽃 축제,2023-01-01,2023-03-31,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
해맞이 행사,2023-01-01,2023-01-01,,대구광역시 북구 침산동 1643-45,대구광역시 북구 침산동 1643-45,35.8911423,128.5828103
태백산 눈축제,2023-01-01,2023-01-01,강원도 태백시 장성1길 171,강원도 태백시장성동 169-1,강원도 태백시 장성1길 171,37.100542,129.0082994
윈 인 윙스,2023-01-06,2023-01-18,서울특별시 종로구 자하문로 53,,서울특별시 종로구 자하문로 53,37.5806563,126.970891
대관령눈꽃축제,2023-01-13,2023-01-22,강원도 평창군 대관령면 사부랑길224-2,강원도 평창군 대관령면 횡계리 661,강원도 평창군 대관령면 사부랑길224-2,37.7047918,128.7018295
한림공원 수선화축제,2023-01-21,2023-02-19,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
전통산사문화재,2023-02-01,2023-12-31,광주광역시 북구 무등로 1514-35,광주광역시 북구 금곡동 846,광주광역시 북구 무등로 1514-35,35.1484635,126.985595
탐라국입춘굿,2023-02-02,2023-02-04,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
탐라국 입춘굿,2023-02-02,2023-02-04,제주특별자치도 제주시 관덕로 19,,제주특별자치도 제주시 관덕로 19,33.5133704,126.5214334
Mumbling after Silence,2023-02-03,2023-02-14,서울특별시 종로구 자하문로 53,,서울특별시 종로구 자하문로 53,37.5806563,126.970891
삼척정월대보름제,2023-02-03,2023-02-05,강원도 강원도 삼척시청 엑스포로 45,강원도 강원도 삼척시청 성남동 1-5,강원도 강원도 삼척시청 엑스포로,37.4367707,129.1549656
제38회 해운대 달맞이온천축제,2023-02-03,2023-02-05,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시 해운대구 중동2로 11,35.1629739,129.1637236
금호강 정월대보름축제,2023-02-05,2023-02-05,,대구광역시 북구 산격동 1477-1,대구광역시 북구 산격동 1477-1,35.9087206,128.6015099
제20회 사상전통달집놀이,2023-02-05,2023-02-05,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,부산광역시 사상구 낙동대로 1310번길,35.176769,128.9782282
정월대보름 달집태우기 행사,2023-02-05,2023-02-05,대구광역시 동구 금호강변로,,대구광역시 동구 금호강변로,35.8631522,128.7047223
한림공원 매화축제,2023-02-11,2023-03-12,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
강진청자축제,2023-02-23,2023-03-01,전라남도 강진군 대구면 청자촌길 33,전라남도 강진군 대구면 사당리 127,전라남도 강진군 대구면 청자촌길,34.5076231,126.8029502
휴애리 매화축제,2023-02-24,2023-03-13,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
생생문화재,2023-03-01,2023-12-31,,광주광역시 북구 충효동 911,광주광역시 북구 충효동 911,35.1848322,127.0009375
구시청나이트페스티벌,2023-03-01,2023-11-01,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,광주광역시 동구 서남로 1,35.1458908,126.9230497
제20회 강북구 3·1독립운동 기념행사,2023-03-01,2023-03-01,서울특별시 강북구 삼양로173길 107-12,서울특별시 강북구 우이동 254,서울특별시 강북구 삼양로173길 107-12,37.6602922,127.0062054
상효원수목원 튤립축제,2023-03-04,2023-04-09,제주특별자치도 서귀포시 산록남로 2847-37,,제주특별자치도 서귀포시 산록남로 2847-37,33.3067015,126.5852773
마노르블랑 봄꽃축제,2023-03-05,2023-04-16,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,제주특별자치도 서귀포시 안덕면 일주서로2100번길,33.2579183,126.2941
2023 제25회 제주들불축제,2023-03-09,2023-03-12,제주특별자치도 제주시 애월읍 화전길 201,,제주특별자치도 제주시 애월읍 화전길,33.3491148,126.3819841
광양매화축제,2023-03-10,2023-03-19,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,전라남도 광양시 시청로 33,34.9404237,127.695954
제19회 진안고원 운장산 고로쇠축제,2023-03-11,2023-03-12,,전라북도 진안군 주천면 대불리 75-1,전라북도 진안군 주천면 대불리,35.956929,127.374113
제24회 양평단월고로쇠축제,2023-03-18,2023-03-19,경기도 양평군 단월면 보룡길 53,경기도 양평군 단월면 보룡리 343-2,경기도 양평군 단월면 보룡길,37.5402528,127.6737816
서천군 동백꽃 주꾸미 축제,2023-03-18,2023-04-02,충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,충청남도 서천군 서면 서인로,36.1458964,126.5323022
전농로 왕벚꽃 축제,2023-03-24,2023-03-26,제주특별자치도 제주시 전농로 40 삼도1동행정복지센터,,제주특별자치도 제주시 전농로 40,33.5042624,126.5173257
한림공원 왕벚꽃축제,2023-03-24,2023-04-08,제주특별자치도 제주시 한림읍 한림로 300,,제주특별자치도 제주시 한림읍 한림로,33.4007497,126.2436908
서귀포 유채꽃 국제걷기대회,2023-03-25,2023-03-26,제주특별자치도 서귀포시 월드컵로 33,,제주특별자치도 서귀포시 월드컵로 33,33.2464668,126.5090074
제5회 애월읍 왕벚꽃 축제,2023-03-25,2023-03-26,제주특별자치도 제주시 애월읍 장전로 106 장전리사무소,,제주특별자치도 제주시 애월읍 장전로,33.4521198,126.3908329
제25회 서귀포유채꽃국제걷기대회,2023-03-25,2023-03-26,제주특별자치도 서귀포시 월드컵로 33,제주특별자치도 서귀포시 월드컵로 33,제주특별자치도 서귀포시 월드컵로 33,33.2464668,126.5090074
제주허브동산 설유화 축제,2023-03-25,2023-04-15,제주특별자치도 서귀포시 표선면 돈오름로 170,,제주특별자치도 서귀포시 표선면 돈오름로,33.3311619,126.8093177
광양천년동백축제,2023-03-25,2023-03-26,전라남도 광양시 옥룡면 신재로 624,전라남도 광양시 옥룡면 운평리 262,전라남도 광양시 옥룡면 신재로,35.0494351,127.6092796
제주MBC 국제평화마라톤,2023-03-26,2023-03-26,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,제주특별자치도 제주시 한림읍 한림중앙로,33.4012313,126.2707027
2023 동촌금호강예술제 Art Blossom,2023-03-28,2023-04-02,,대구광역시 동구 불로동 1058,대구광역시 동구 불로동 1058,35.8947726,128.6331475
영암왕인문화축제,2023-03-30,2023-04-02,전라남도 영암군 군서면 왕인로 440,전라남도 영암군 군서면 동구림리 산 17,전라남도 영암군 군서면 왕인로,34.7642519,126.6358075
섬 수선화 축제,2023-03-30,2023-04-09,전라남도 신안군 지도읍 선도길 72-26,,전라남도 신안군 지도읍 선도길,34.9892562,126.2639919
제8회 사천비토섬별주부전축제,2023-03-31,2023-04-01,경상남도 사천시 거북길 455,경상남도 사천시 서포면 비토리 14-13,경상남도 사천시 거북길 455,34.9707491,127.9694632
제4회 연제고분판타지축제,2023-03-31,2023-04-02,,부산광역시 연제구 거제동 1466-24,부산광역시 연제구 거제동 1466-24,35.1958065,129.0827581
구미 청춘 금오천 2.4km,2023-03-31,2023-04-04,,경상북도 구미시 남통동 414-34,경상북도 구미시 남통동 414-34,36.1225225,128.3235155
화개장터 벚꽃축제,2023-03-31,2023-04-02,경상남도 하동군 화개면 쌍계로 71-9,,경상남도 하동군 화개면 쌍계로,35.2095606,127.6368444
2023 서귀포 유채꽃축제,2023-03-31,2023-04-02,제주특별자치도 서귀포시 표선면 녹산로 381-15,,제주특별자치도 서귀포시 표선면 녹산로,33.396036,126.729377
2023 서귀포유채꽃축제,2023-03-31,2023-04-02,제주특별자치도 서귀포시 표선면 녹산로 381-15,제주특별자치도 서귀포시 표선면 가시리 3149-33,제주특별자치도 서귀포시 표선면 녹산로,33.396036,126.729377
강서 낙동강30리 벚꽃축제(2023년 상반기 예정),2023-03-31,2023-04-02,,부산광역시 강서구 대저1동 1-17,부산광역시 강서구 대저1동 1-17,35.2093352,128.9865076
제21회 옥천묘목축제,2023-03-31,2023-04-02,충청북도 옥천군 이원면 이원로 830,충청북도 옥천군 이원면 이원리 503,충청북도 옥천군 이원면 이원로,36.2107713,127.6260486
가족뮤지컬 고고다이노 우리동네공룡,2023-04-01,2023-04-01,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
명품콘서트,2023-04-01,2023-05-31,경기도 성남시 분당구 성남대로 550,경기도 성남시 분당구 수내동 65,경기도 성남시 분당구 성남대로,37.376796,127.1178172
2023 생생문화재,2023-04-01,2023-07-01,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,광주광역시 동구 서남로 1,35.1458908,126.9230497
서울놀이마당 상설정기공연,2023-04-01,2023-10-29,서울특별시 송파구 삼학사로 136,,서울특별시 송파구 삼학사로 136,37.5085818,127.1001887
여수영취산진달래체험행사,2023-04-01,2023-04-02,전라남도 여수시 흥국사길 160,전라남도 여수시 중흥동 17,전라남도 여수시 흥국사길 160,34.8211501,127.7002713
청년거리문화축제,2023-04-01,2023-12-31,전라남도 여수시 시청로 1,전라남도 여수시 학동 100,전라남도 여수시 시청로 1,34.7606062,127.6622306
선진리성벚꽃축제,2023-04-01,2023-04-01,경상남도 사천시 선진안길 83-28,경상남도 사천시 용현면 선진리 770,경상남도 사천시 선진안길 83-28,35.0434683,128.0417087
제20회 양평 산수유 한우 축제,2023-04-01,2023-04-02,경기도 양평군 개군면 자진개1길 83,경기도 양평군 개군면 하자포리 375,경기도 양평군 개군면 자진개1길,37.4303778,127.5333669
백운산국사봉철쭉제,2023-04-01,2023-04-01,전라남도 광양시 옥곡면 옥진로 665-1,전라남도 광양시 옥곡면 수평리 131-3,전라남도 광양시 옥곡면 옥진로,34.9839537,127.685928
용인어린이상상의숲 특별 행사 <상상해봄>(가칭),2023-04-01,2023-04-01,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 28-6,경기도 용인시 처인구 동백죽전대로,37.2516527,127.1659836
합천벚꽃마라톤대회,2023-04-02,2023-04-02,경상남도 합천군 대병면 합천호수로 197,경상남도 합천군 대병면 회양리 1603-1,경상남도 합천군 대병면 합천호수로,35.533188,128.0397933
서귀포관악단 제78회 정기연주회,2023-04-02,2023-04-02,제주특별자치도 제주시 애월읍 화전길 201,,제주특별자치도 제주시 애월읍 화전길,33.3491148,126.3819841
4.3 창작뮤지컬 동백꽃 피는 날,2023-04-03,2023-04-03,제주특별자치도 제주시 전농로 40 삼도1동행정복지센터,,제주특별자치도 제주시 전농로 40,33.5042624,126.5173257
백혜선피아니스트 리사이틀,2023-04-04,2023-04-04,제주특별자치도 제주시 애월읍 장전로 106 장전리사무소,,제주특별자치도 제주시 애월읍 장전로,33.4521198,126.3908329
제17회 영등포 여의도 봄꽃축제,2023-04-04,2023-04-09,서울특별시 영등포구 의사당대로 1,서울특별시 영등포구 여의도동 1,서울특별시 영등포구 의사당대로 1,37.521322,126.923544
동대문 봄꽃축제,2023-04-05,2023-04-08,서울시 동대문구 천호대로 145,,서울시 동대문구 천호대로 145,37.5744181,127.0397492
2023년 울산병영3.1만세운동 제23회 재현행사,2023-04-05,2023-04-06,울산광역시 중구 병영성13길 2,울산광역시 중구 서동 311 병영초등학교,울산광역시 중구 병영성13길 2,35.574848,129.3448571
김정문화회관 기획공연 시리즈 토요일 토요일은 클래식 1.퍼니 밴드,2023-04-05,2023-04-05,제주특별자치도 서귀포시 월드컵로 33,,제주특별자치도 서귀포시 월드컵로 33,33.2464668,126.5090074
서귀포관악단 즐거운주말 토요힐링콘서트,2023-04-06,2023-04-06,제주특별자치도 제주시 구좌읍 김녕로 209,,제주특별자치도 제주시 구좌읍 김녕로,33.5541269,126.7553151
팔공산 벚꽃축제,2023-04-06,2023-04-09,,대구광역시 동구 용수동 27-5,대구광역시 동구 용수동 27-5,35.9897266,128.6964879
섬 튤립축제,2023-04-07,2023-04-16,전라남도 신안군 임자면 대광해수욕장길 179,,전라남도 신안군 임자면 대광해수욕장길,35.0977769,126.0827072
4월 시민을 위한 무료영화,2023-04-07,2023-04-07,제주특별자치도 서귀포시 표선면 녹산로 381-15,,제주특별자치도 서귀포시 표선면 녹산로,33.396036,126.729377
삼척맹방유채꽃행사,2023-04-07,2023-04-16,강원도 삼척시 근덕면 삼척로 3916-112(마을회관),강원도 삼척시 근덕면 상맹방리 215-1 외 30필지,강원도 삼척시 근덕면 삼척로,37.3414433,129.2552153
휴애리 봄 수국축제,2023-04-07,2023-06-14,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
양동통맥축제,2023-04-07,2023-10-28,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 2-1,광주광역시 서구 천변좌로 238,35.1542985,126.9020207
신효건 피아노 독주회,2023-04-08,2023-04-08,제주특별자치도 제주시 우도면 우도해안길 70,,제주특별자치도 제주시 우도면 우도해안길,33.5065528,126.9549021
체험문화축제,2023-04-08,2023-04-09,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,경기도 이천시 신둔면 도자예술로5번길,37.2941771,127.387704
제1회남대천벚꽃축제,2023-04-08,2023-04-09,,경상북도 의성군 의성읍 후죽리 774-18,경상북도 의성군 의성읍 후죽리,36.3633945,128.6977825
2023 자유공원 벚꽃축제,2023-04-08,2023-04-08,인천광역시 중구 제물량로232번길 46,,인천광역시 중구 제물량로232번길 46,37.4750752,126.6220162
4.19혁명 국민문화제,2023-04-08,2023-04-19,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,서울특별시 강북구 도봉로89길 13,37.639544,127.0254728
문화와 예술이 어울어지는 미니콘서트,2023-04-08,2023-10-24,"경기도 성남시 수정구 수정로171번길 10, 성남아트리움 지하1층",경기도 성남시 수정구 태평동 3309,경기도 성남시 수정구 수정로171번길,37.4442899,127.1382437
제13회 성남 전국 사진촬영대회,2023-04-08,2023-06-30,"경기도 성남시 수정구 수정로171번길 10, 성남아트리움 지하1층",경기도 성남시 수정구 태평동 3309,경기도 성남시 수정구 수정로171번길,37.4442899,127.1382437
제1회 도촌 봄봄맞이길 벚꽃축제,2023-04-08,2023-04-08,경기도 성남시 중원구 도촌북로 28,,경기도 성남시 중원구 도촌북로,37.4139544,127.1610608
제17회 벌터산한마당축제,2023-04-08,2023-04-08,경기도 성남시 수정구 성남대로 1204,,경기도 성남시 수정구 성남대로,37.4507087,127.1269304
가파도청보리축제,2023-04-08,2023-04-16,제주특별자치도 서귀포시 대정읍 가파로 2,,제주특별자치도 서귀포시 대정읍 가파로,33.169671,126.2725676
2023 안양충훈벚꽃축제,2023-04-08,2023-04-09,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797번지,경기도 안양시 만안구 석수로,37.4169936,126.9018152
추월산벚꽃축제,2023-04-08,2023-04-09,전라남도 담양군 용면 추월산로 369,전라남도 담양군 용면 추성리 478-1,전라남도 담양군 용면 추월산로,35.3928143,126.9941626
낙동강유채꽃축제,2023-04-08,2023-04-16,부산광역시 강서구 공항로 1246(대저1동),부산광역시 강서구 대저1동 2314-11,부산광역시 강서구 공항로 1246,35.184069,128.9666489
조이유스오케스트라 창단연주회,2023-04-09,2023-04-09,제주특별자치도 서귀포시 남원읍 서성로 788,,제주특별자치도 서귀포시 남원읍 서성로,33.3188775,126.6742738
서귀포합창단 제75회 정기연주회,2023-04-10,2023-04-10,제주특별자치도 서귀포시 대정읍 가파로 2,,제주특별자치도 서귀포시 대정읍 가파로,33.169671,126.2725676
아름다운 동행,2023-04-11,2023-04-11,제주특별자치도 서귀포시 이어도로 668,,제주특별자치도 서귀포시 이어도로 668,33.2336881,126.4875701
서귀포예술단,2023-04-12,2023-04-12,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,제주특별자치도 제주시 한림읍 한림중앙로,33.4012313,126.2707027
에클레시아 앙상블 제주,2023-04-13,2023-04-13,제주특별자치도 제주시 한경면 노을해안로 1100,,제주특별자치도 제주시 한경면 노을해안로,33.2978379,126.167856
전국 새우란 축제,2023-04-14,2023-04-23,전라남도 신안군 자은면 자은서부2길 508-65,,전라남도 신안군 자은면 자은서부2길,34.8788654,126.009841
제12회 우도소라축제,2023-04-14,2023-04-16,제주특별자치도 제주시 우도면 우도해안길 70,,제주특별자치도 제주시 우도면 우도해안길,33.5065528,126.9549021
작가와함께하는 북 콘서트,2023-04-14,2023-04-14,제주특별자치도 서귀포시 남원읍 신례동로 256,,제주특별자치도 서귀포시 남원읍 신례동로,33.3000025,126.635697
2023청도소싸움축제,2023-04-14,2023-04-16,경상북도 청도군 화양읍 남성현로 348,경상북도 청도군 화양읍 삼신리 693-2,경상북도 청도군 화양읍 남성현로,35.6909999,128.7296265
의령 홍의장군축제,2023-04-20,2023-04-23,경상남도 의령군 의령읍 의병로24길 31-1,,경상남도 의령군 의령읍 의병로24길,35.3187093,128.2649467
가야문화축제(예정),2023-04-20,2023-04-23,경상남도 김해시 가야의길 126,경상남도 김해시 대성동 434,경상남도 김해시 가야의길 126,35.2374065,128.8737462
계양산국악제,2023-04-21,2023-04-22,인천광역시 계양구 주부토로 570,,인천광역시 계양구 주부토로 570,37.5449367,126.729587
청남대 영춘제,2023-04-22,2023-05-07,충청북도 청주시 상당구 문의면 청남대길 646,충청북도 청주시 상당구 문의면 신대리 산26-1,충청북도 청주시 상당구 문의면,36.490977,127.5107285
지리산 바래봉 철쭉제,2023-04-22,2023-05-21,전라북도 남원시 운봉읍 바래봉길 214,전라북도 남원시 운봉읍 용산리 446-3,전라북도 남원시 운봉읍 바래봉길,35.4348029,127.5419046
이천도자기축제,2023-04-26,2023-05-07,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,경기도 이천시 신둔면 도자예술로5번길,37.2941771,127.387704
제5회 홍천산나물축제,2023-04-28,2023-04-30,,강원도 홍천군 홍천읍 갈마곡리 497,강원도 홍천군 홍천읍 갈마곡리,37.704929,127.8953907
제13회 양평 용문산 산나물축제,2023-04-28,2023-04-30,경기도 양평군 용문면 용문산로 782,경기도 양평군 용문면 신점리 625,경기도 양평군 용문면 용문산로,37.5264535,127.5939985
나비대축제,2023-04-28,2023-05-07,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,전라남도 함평군 함평읍 곤재로,35.0548493,126.5187247
2023년 청계산 힐링 빛 축제,2023-04-28,2023-04-28,경기도 성남시 수정구 옛골로 18,,경기도 성남시 수정구 옛골로,37.4255642,127.0668185
2023 제주 고산리 유적 선사축제,2023-04-28,2023-04-30,제주특별자치도 제주시 한경면 노을해안로 1100,,제주특별자치도 제주시 한경면 노을해안로,33.2978379,126.167856
제25회 사천와룡문화제,2023-04-28,2023-04-30,경상남도 사천시 용현면 시청로 77,,경상남도 사천시 용현면 시청로,35.004206,128.0618707
제13회 옥천참옻축제,2023-04-29,2023-04-30,충청북도 옥천군 옥천읍 중앙로 131,충청북도 옥천군 옥천읍 삼양리 125,충청북도 옥천군 옥천읍 중앙로,36.3063161,127.5711589
한라산청정고사리축제,2023-04-29,2023-04-30,제주특별자치도 서귀포시 남원읍 서성로 788,,제주특별자치도 서귀포시 남원읍 서성로,33.3188775,126.6742738
황매산 철쭉제,2023-04-29,2023-05-14,경상남도 합천군 가회면 황매산공원길 4,경상남도 합천군 가회면 둔내리 1319,경상남도 합천군 가회면 황매산공원길,35.4854452,127.9936282
서편제보성소리축제,2023-04-29,2023-05-01,전라남도 보성군 보성읍 송재로 281-9,,전라남도 보성군 보성읍 송재로,34.7736862,127.0819954
문경찻사발축제,2023-04-29,2023-05-07,경상북도 문경시 문경읍 새재로 1037,경상북도 문경시 문경읍 상초리 72,경상북도 문경시 문경읍 새재로,36.7661229,128.0809294
윤봉길평화축제,2023-04-29,2023-04-30,,충청남도 예산군 덕산면 시량리 산40-1,충청남도 예산군 덕산면 시량리,36.6879119,126.6474385
섬마을밴드 음악축제,2023-05-01,2023-10-31,인천광역시 중구 제물량로 195,,인천광역시 중구 제물량로 195,37.4707537,126.6223079
담양대나무축제,2023-05-03,2023-05-07,전라남도 담양군 담양읍 메타프로방스 1길 17,전라남도 담양군 담양읍 학동리 586-1,전라남도 담양군 담양읍 메타프로방스,35.3219335,127.0018244
선덕여왕 숭모재,2023-05-04,2023-05-04,대구광역시 동구 팔공산로 967-28,,대구광역시 동구 팔공산로 967-28,35.9953588,128.6726452
예천세계활축제,2023-05-04,2023-05-07,,경상북도 예천군 예천읍 남본리 310-1,경상북도 예천군 예천읍 남본리,36.6498203,128.4542731
하동 야생차문화축제,2023-05-04,2023-06-03,경상남도 하동군 화개면 화개면 쌍계로 571-25,,경상남도 하동군 화개면 화개면,35.2539984,127.6475977
2023하동세계차엑스포,2023-05-04,2023-06-03,경상남도 하동군 적량면 공설운동장로 207 일원 + 경상남도 하동군 화개면 쌍계로 571-25,,경상남도 하동군 적량면 공설운동장로,35.0611559,127.7751339
광주왕실도자기축제,2023-05-04,2023-05-14,경기도 광주시 곤지암읍 경충대로 727,경기도 광주시 곤지암읍 삼리 72-1번지,경기도 광주시 곤지암읍 경충대로,37.3397123,127.3595458
연천구석기축제,2023-05-04,2023-05-07,경기도 연천군 전곡읍 양연로 1510,경기도 연천군 전곡읍 전곡리 515,경기도 연천군 전곡읍 양연로,37.9827764,127.0279852
연천거리문화축제,2023-05-04,2023-05-07,경기도 연천군 전곡읍 은전로78번길 3,경기도 연천군 전곡읍 전곡리 459-18,경기도 연천군 전곡읍 은전로78번길,38.0261678,127.0692313
홍성역사인물축제,2023-05-05,2023-05-06,충청남도 홍성군 홍성읍 아문길 27,충청남도 홍성군 홍성읍 오관리 98,충청남도 홍성군 홍성읍 아문길,36.6003442,126.6625582
제13회 양평 용문산 산나물축제,2023-05-05,2023-05-07,경기도 양평군 용문면 용문역길 21,경기도 양평군 용문면 다문리 736-13,경기도 양평군 용문면 용문역길,37.4825374,127.5922287
천령문화제,2023-05-05,2023-05-09,,경상남도 함양군 함양읍 교산리 1047-2,경상남도 함양군 함양읍 교산리,35.5322234,127.7281673
진주논개제,2023-05-05,2023-05-08,경상남도 진주시 남강로 626,경상남도 진주시 본성동 415,경상남도 진주시 남강로 626,35.1899492,128.0809347
거리예술제,2023-05-05,2023-10-27,제주특별자치도 제주시 신대로12길 52,,제주특별자치도 제주시 신대로12길 52,33.4890539,126.4914878
2023 대구앞산축제(제28회 대덕제),2023-05-05,2023-05-06,대구광역시 남구 고산4길 71,대구광역시 남구 봉덕동 1272-1,대구광역시 남구 고산4길 71,35.8327031,128.6002512
"용인어린이상상의숲 어린이 주간 특별 행사 <오, 오 상상이상>",2023-05-05,2023-05-05,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 28-6,경기도 용인시 처인구 동백죽전대로,37.2516527,127.1659836
흑산홍어축제,2023-05-05,2023-05-06,,전라남도 신안군 흑산면 예리 173-55,전라남도 신안군 흑산면 예리,34.6720544,125.4282629
강정마을 생태축제,2023-05-05,2023-05-07,제주특별자치도 서귀포시 이어도로 668,,제주특별자치도 서귀포시 이어도로 668,33.2336881,126.4875701
제30회 물왕예술제(산현공원),2023-05-05,2023-05-07,경기도 시흥시 목감남서로15,경기도 시흥시 조남동 670,경기도 시흥시 목감남서로15,37.3736919,126.8507639
제25회 원주한지문화제,2023-05-05,2023-05-14,강원도 원주시 한지공원길 151,강원도 원주시 무실동 16,강원도 원주시 한지공원길 151,37.3349482,127.9350851
여수거북선축제,2023-05-05,2023-05-07,전라남도 여수시 이순신광장로 95,전라남도 여수시 중앙동 385-6번지 등,전라남도 여수시 이순신광장로 95,34.7392232,127.7365272
울산옹기축제,2023-05-05,2023-05-07,울산광역시 울주군 온양읍 외고산3길 36,울산광역시 울주군 온양읍 고산리 501-18,울산광역시 울주군 온양읍 외고산3길,35.4353229,129.2792291
거리예술제,2023-05-05,2023-10-27,제주특별자치도 제주시 관덕로 11길 6,,제주특별자치도 제주시 관덕로 11길,33.5147271,126.5254922
2023 부소산 봄 나들이 축제,2023-05-05,2023-05-07,,충청남도 부여군 부여읍 구아리 46-5,충청남도 부여군 부여읍 구아리,36.2827182,126.9102152
제10회 서울동화축제,2023-05-06,2023-05-07,서울특별시 광진구 능동로216,,서울특별시 광진구 능동로216,37.5495886,127.081578
2023 가족의 달 어린이축제,2023-05-06,2023-05-07,인천광역시 중구 제물량로 238,,인천광역시 중구 제물량로 238,37.4735782,126.6187698
제17회 청계산 철쭉축제,2023-05-06,2023-05-06,경기도 성남시 수정구 청계산로4길 17-12,경기도 성남시 수정구 고등동 613-2,경기도 성남시 수정구 청계산로4길,37.424586,127.100487
제18회 영양산나물축제,2023-05-11,2023-05-14,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,경상북도 영양군 영양읍 군청길,36.6653817,129.1120988
